jour,dep,hosp,rea,rad,dc
2020/3/26,71,297,44,231,58
2020/3/26,72,78,10,40,4
2020/3/26,73,104,26,38,4
2020/3/26,74,270,74,192,32
2020/3/26,75,2970,750,702,278
2020/3/26,76,302,78,36,28
2020/3/26,77,540,195,170,40
2020/3/26,78,823,199,224,86
2020/3/26,79,30,2,24,2
2020/3/26,08,26,14,4,0
2020/3/26,80,335,84,93,40
2020/3/26,81,48,20,12,2
2020/3/26,82,6,4,4,2
2020/3/26,83,205,64,264,24
2020/3/26,84,70,20,54,6
2020/3/26,85,92,18,20,4
2020/3/26,86,48,12,26,8
2020/3/26,87,46,8,6,8
2020/3/26,88,201,34,114,94
2020/3/26,89,70,24,4,6
2020/3/26,09,14,6,8,0
2020/3/26,90,274,60,104,70
2020/3/26,91,831,186,136,30
2020/3/26,92,1686,441,453,112
2020/3/26,93,1083,237,200,134
2020/3/26,94,1290,304,362,104
2020/3/26,95,978,220,368,134
2020/3/27,01,98,18,34,4
2020/3/27,10,120,26,6,12
2020/3/27,11,90,28,52,30
2020/3/27,12,48,12,26,10
2020/3/27,13,1028,220,655,40
2020/3/27,14,126,42,24,4
2020/3/27,15,14,8,4,0
2020/3/27,16,51,9,15,8
2020/3/27,17,72,26,32,0
2020/3/27,18,24,8,6,4
2020/3/27,19,32,12,2,6
2020/3/27,02,264,70,180,74
2020/3/27,21,340,84,274,68
2020/3/27,22,64,10,6,2
2020/3/27,23,12,4,0,0
2020/3/27,24,82,10,8,0
2020/3/27,25,200,74,120,42
2020/3/27,26,255,68,78,42
2020/3/27,27,74,20,0,2
2020/3/27,28,133,49,25,20
2020/3/27,29,82,18,46,10
2020/3/27,03,35,3,54,8
2020/3/27,30,50,22,38,12
2020/3/27,31,311,112,104,10
2020/3/27,32,30,8,2,0
2020/3/27,33,405,105,182,30
2020/3/27,34,354,86,162,36
2020/3/27,35,106,32,76,6
2020/3/27,36,58,14,4,14
2020/3/27,37,102,30,36,6
2020/3/27,38,228,58,104,8
2020/3/27,39,96,24,10,0
2020/3/27,04,22,2,36,0
2020/3/27,40,20,6,4,0
2020/3/27,41,48,8,16,0
2020/3/27,42,523,102,88,40
2020/3/27,43,28,12,24,2
2020/3/27,44,254,64,66,24
2020/3/27,45,125,50,40,8
2020/3/27,46,6,2,10,0
2020/3/27,47,34,10,8,6
2020/3/27,48,14,4,6,0
2020/3/27,49,182,44,146,20
2020/3/27,05,64,14,44,2
2020/3/27,50,51,14,22,8
2020/3/27,51,434,94,158,40
2020/3/27,52,98,20,34,16
2020/3/27,53,90,12,6,6
2020/3/27,54,504,218,107,70
2020/3/27,55,256,26,74,26
2020/3/27,56,178,38,134,50
2020/3/27,57,1372,252,337,244
2020/3/27,58,12,6,0,0
2020/3/27,59,661,257,154,70
2020/3/27,06,196,43,196,24
2020/3/27,60,464,104,240,132
2020/3/27,61,30,10,50,2
2020/3/27,62,242,88,122,18
2020/3/27,63,54,10,28,0
2020/3/27,64,96,22,42,10
2020/3/27,65,34,6,10,2
2020/3/27,66,224,64,74,18
2020/3/27,67,1568,445,468,214
2020/3/27,68,1917,252,815,577
2020/3/27,69,1476,274,417,158
2020/3/27,07,94,14,89,17
2020/3/27,70,134,46,44,12
2020/3/27,71,329,54,238,64
2020/3/27,72,106,24,44,6
2020/3/27,73,122,30,48,6
2020/3/27,74,324,80,211,38
2020/3/27,75,3295,881,862,360
2020/3/27,76,344,100,49,32
2020/3/27,77,640,219,216,42
2020/3/27,78,898,200,270,106
2020/3/27,79,32,2,24,4
2020/3/27,08,28,16,4,0
2020/3/27,80,351,84,105,44
2020/3/27,81,50,24,16,2
2020/3/27,82,8,4,4,2
2020/3/27,83,227,66,276,24
2020/3/27,84,84,26,62,6
2020/3/27,85,108,22,20,6
2020/3/27,86,56,16,30,12
2020/3/27,87,66,8,6,8
2020/3/27,88,251,42,134,112
2020/3/27,89,74,24,4,6
2020/3/27,09,16,2,8,0
2020/3/27,90,294,60,120,86
2020/3/27,91,905,200,160,36
2020/3/27,92,1917,466,520,148
2020/3/27,93,1351,263,250,163
2020/3/27,94,1508,316,420,138
2020/3/27,95,1008,226,492,162
2020/3/28,01,106,24,40,6
2020/3/28,10,126,26,6,14
2020/3/28,11,118,38,68,34
2020/3/28,12,66,12,32,12
2020/3/28,13,1173,248,704,46
2020/3/28,14,162,54,32,4
2020/3/28,15,16,8,4,0
2020/3/28,16,43,9,23,9
2020/3/28,17,82,32,38,2
2020/3/28,18,32,16,6,8
2020/3/28,19,58,12,2,6
2020/3/28,02,268,68,190,82
2020/3/28,21,404,90,308,70
2020/3/28,22,68,10,12,4
2020/3/28,23,12,4,0,0
2020/3/28,24,22,10,10,0
2020/3/28,25,182,76,144,44
2020/3/28,26,327,90,82,42
2020/3/28,27,74,20,2,2
2020/3/28,28,143,47,29,20
2020/3/28,29,96,22,50,10
2020/3/28,03,43,3,62,8
2020/3/28,30,72,28,38,12
2020/3/28,31,326,120,123,12
2020/3/28,32,32,8,2,0
2020/3/28,33,432,112,196,34
2020/3/28,34,403,102,186,42
2020/3/28,35,130,32,80,10
2020/3/28,36,82,18,4,16
2020/3/28,37,102,30,44,8
2020/3/28,38,240,60,114,12
2020/3/28,39,74,18,30,2
2020/3/28,04,24,2,42,0
2020/3/28,40,18,6,10,0
2020/3/28,41,58,8,24,6
2020/3/28,42,640,133,94,54
2020/3/28,43,28,12,26,4
2020/3/28,44,287,77,82,38
2020/3/28,45,165,58,46,12
2020/3/28,46,6,2,10,0
2020/3/28,47,50,16,8,6
2020/3/28,48,16,4,8,0
2020/3/28,49,214,58,162,20
2020/3/28,05,64,14,52,2
2020/3/28,50,63,22,22,8
2020/3/28,51,506,104,223,48
2020/3/28,52,106,22,34,16
2020/3/28,53,92,12,6,10
2020/3/28,54,626,262,127,76
2020/3/28,55,260,26,74,28
2020/3/28,56,186,50,148,50
2020/3/28,57,1485,288,401,303
2020/3/28,58,14,8,2,0
2020/3/28,59,778,286,186,80
2020/3/28,06,209,41,212,30
2020/3/28,60,490,98,254,154
2020/3/28,61,38,10,56,2
2020/3/28,62,298,108,138,24
2020/3/28,63,70,16,28,0
2020/3/28,64,96,20,56,12
2020/3/28,65,42,10,12,2
2020/3/28,66,246,68,94,18
2020/3/28,67,1660,445,524,234
2020/3/28,68,1898,258,965,647
2020/3/28,69,1715,373,491,186
2020/3/28,07,106,14,128,18
2020/3/28,70,131,42,52,18
2020/3/28,71,363,62,273,68
2020/3/28,72,157,34,50,8
2020/3/28,73,131,32,50,6
2020/3/28,74,354,88,245,46
2020/3/28,75,3836,1036,994,422
2020/3/28,76,432,116,77,36
2020/3/28,77,768,231,250,62
2020/3/28,78,1020,238,338,122
2020/3/28,79,34,2,26,4
2020/3/28,08,50,16,4,0
2020/3/28,80,428,98,119,52
2020/3/28,81,60,26,16,2
2020/3/28,82,8,4,4,2
2020/3/28,83,277,74,278,24
2020/3/28,84,90,36,76,8
2020/3/28,85,129,23,26,8
2020/3/28,86,52,16,34,16
2020/3/28,87,78,14,10,8
2020/3/28,88,299,56,158,136
2020/3/28,89,76,24,4,6
2020/3/28,09,16,2,8,0
2020/3/28,90,328,68,122,88
2020/3/28,91,1024,248,224,42
2020/3/28,92,2190,514,623,176
2020/3/28,93,1348,286,374,199
2020/3/28,94,1728,348,514,166
2020/3/28,95,1060,230,548,186
2020/3/29,01,108,26,46,12
2020/3/29,10,128,26,6,14
2020/3/29,11,136,36,70,34
2020/3/29,12,68,12,32,12
2020/3/29,13,1384,298,713,60
2020/3/29,14,186,62,34,4
2020/3/29,15,16,8,4,0
2020/3/29,16,59,13,26,9
2020/3/29,17,92,42,40,6
2020/3/29,18,36,16,6,8
2020/3/29,19,64,14,4,6
2020/3/29,02,271,68,192,84
2020/3/29,21,434,96,359,74
2020/3/29,22,72,10,16,6
2020/3/29,23,12,4,0,0
2020/3/29,24,22,10,10,0
2020/3/29,25,296,112,168,50
2020/3/29,26,363,102,82,44
2020/3/29,27,74,20,2,2
2020/3/29,28,194,53,32,22
2020/3/29,29,100,22,56,10
2020/3/29,03,45,9,64,8
2020/3/29,30,78,26,38,18
2020/3/29,31,369,130,129,14
2020/3/29,32,40,8,2,0
2020/3/29,33,474,126,214,42
2020/3/29,34,468,116,190,46
2020/3/29,35,168,30,102,10
2020/3/29,36,80,16,4,18
2020/3/29,37,115,35,46,8
2020/3/29,38,279,76,122,16
2020/3/29,39,74,18,30,2
2020/3/29,04,24,2,42,0
2020/3/29,40,22,6,10,0
2020/3/29,41,58,8,24,6
2020/3/29,42,746,145,120,66
2020/3/29,43,28,10,26,6
2020/3/29,44,315,77,82,46
2020/3/29,45,229,76,52,16
2020/3/29,46,10,4,14,0
2020/3/29,47,54,16,8,6
2020/3/29,48,18,4,8,0
2020/3/29,49,234,58,184,20
2020/3/29,05,78,16,54,2
2020/3/29,50,73,26,26,12
2020/3/29,51,518,106,251,52
2020/3/29,52,106,22,34,16
2020/3/29,53,105,13,6,10
2020/3/29,54,648,264,143,84
2020/3/29,55,262,26,76,28
2020/3/29,56,196,52,158,56
2020/3/29,57,1610,321,423,325
2020/3/29,58,18,12,2,0
2020/3/29,59,892,314,222,86
2020/3/29,06,223,51,230,34
2020/3/29,60,518,98,258,164
2020/3/29,61,50,10,56,2
2020/3/29,62,336,116,148,26
2020/3/29,63,102,42,28,0
2020/3/29,64,104,26,64,12
2020/3/29,65,50,10,14,2
2020/3/29,66,252,66,104,22
2020/3/29,67,1759,467,554,270
2020/3/29,68,1989,270,1023,693
2020/3/29,69,1809,411,539,214
2020/3/29,07,111,12,129,20
2020/3/29,70,131,36,58,20
2020/3/29,71,367,54,279,72
2020/3/29,72,193,34,55,10
2020/3/29,73,163,34,54,8
2020/3/29,74,421,108,259,52
2020/3/29,75,4210,1140,1026,474
2020/3/29,76,526,126,87,44
2020/3/29,77,832,225,278,66
2020/3/29,78,1113,250,373,138
2020/3/29,79,46,8,26,4
2020/3/29,08,60,22,8,0
2020/3/29,80,454,100,130,62
2020/3/29,81,76,34,16,2
2020/3/29,82,8,4,4,2
2020/3/29,83,311,82,288,26
2020/3/29,84,98,36,76,8
2020/3/29,85,145,29,28,8
2020/3/29,86,68,28,38,18
2020/3/29,87,98,26,10,8
2020/3/29,88,358,54,165,144
2020/3/29,89,80,26,12,8
2020/3/29,09,18,4,8,0
2020/3/29,90,342,80,132,102
2020/3/29,91,1047,252,252,66
2020/3/29,92,2319,550,681,220
2020/3/29,93,1510,294,400,225
2020/3/29,94,1906,354,546,198
2020/3/29,95,1168,262,652,226
2020/3/30,01,130,37,48,19
2020/3/30,10,138,26,8,14
2020/3/30,11,146,40,72,36
2020/3/30,12,79,16,38,12
2020/3/30,13,1594,368,755,70
2020/3/30,14,190,62,36,14
2020/3/30,15,20,8,4,0
2020/3/30,16,69,15,26,9
2020/3/30,17,122,50,42,12
2020/3/30,18,64,24,6,12
2020/3/30,19,74,16,8,6
2020/3/30,02,270,68,204,88
2020/3/30,21,421,92,423,74
2020/3/30,22,78,10,18,6
2020/3/30,23,16,8,0,0
2020/3/30,24,22,8,10,0
2020/3/30,25,304,106,178,52
2020/3/30,26,414,120,106,64
2020/3/30,27,78,24,6,6
2020/3/30,28,226,57,43,34
2020/3/30,29,108,24,58,12
2020/3/30,03,59,15,77,8
2020/3/30,30,88,34,38,18
2020/3/30,31,426,155,139,14
2020/3/30,32,38,8,2,2
2020/3/30,33,576,156,287,50
2020/3/30,34,484,134,218,48
2020/3/30,35,182,34,106,14
2020/3/30,36,86,16,6,22
2020/3/30,37,162,42,50,8
2020/3/30,38,328,92,128,22
2020/3/30,39,96,18,30,4
2020/3/30,04,38,8,56,2
2020/3/30,40,29,8,12,2
2020/3/30,41,96,12,28,8
2020/3/30,42,781,164,140,72
2020/3/30,43,32,10,28,6
2020/3/30,44,316,80,106,56
2020/3/30,45,277,78,64,22
2020/3/30,46,10,4,14,0
2020/3/30,47,54,14,12,6
2020/3/30,48,16,4,12,0
2020/3/30,49,250,60,188,28
2020/3/30,05,76,12,66,2
2020/3/30,50,90,30,28,14
2020/3/30,51,536,124,271,82
2020/3/30,52,110,22,34,16
2020/3/30,53,112,16,8,14
2020/3/30,54,741,291,177,100
2020/3/30,55,296,30,110,34
2020/3/30,56,212,58,158,58
2020/3/30,57,1734,339,465,363
2020/3/30,58,24,14,2,0
2020/3/30,59,1023,360,269,110
2020/3/30,06,237,59,232,40
2020/3/30,60,552,104,278,180
2020/3/30,61,56,12,58,2
2020/3/30,62,381,150,166,34
2020/3/30,63,122,62,32,2
2020/3/30,64,110,30,68,18
2020/3/30,65,58,14,18,2
2020/3/30,66,246,74,120,26
2020/3/30,67,1815,495,574,306
2020/3/30,68,2043,275,1131,757
2020/3/30,69,1964,467,573,240
2020/3/30,07,122,12,153,22
2020/3/30,70,126,32,75,28
2020/3/30,71,373,68,289,86
2020/3/30,72,195,46,60,10
2020/3/30,73,169,48,70,10
2020/3/30,74,480,120,286,54
2020/3/30,75,4409,1193,1209,612
2020/3/30,76,542,146,97,48
2020/3/30,77,932,275,320,90
2020/3/30,78,1184,274,462,160
2020/3/30,79,50,6,26,4
2020/3/30,08,60,22,8,0
2020/3/30,80,481,118,144,72
2020/3/30,81,78,34,20,4
2020/3/30,82,14,10,5,2
2020/3/30,83,338,86,312,36
2020/3/30,84,126,40,80,10
2020/3/30,85,150,30,28,8
2020/3/30,86,82,26,40,18
2020/3/30,87,110,26,12,10
2020/3/30,88,391,56,183,162
2020/3/30,89,104,30,16,8
2020/3/30,09,22,6,8,0
2020/3/30,90,354,80,146,122
2020/3/30,91,1163,279,266,86
2020/3/30,92,2556,584,752,253
2020/3/30,93,1721,324,443,247
2020/3/30,94,2042,372,598,204
2020/3/30,95,1290,274,724,254
2020/3/31,01,143,31,65,20
2020/3/31,10,156,26,8,16
2020/3/31,11,150,36,78,38
2020/3/31,12,86,20,42,12
2020/3/31,13,1697,386,952,94
2020/3/31,14,192,70,44,14
2020/3/31,15,24,10,4,0
2020/3/31,16,27,11,28,9
2020/3/31,17,112,48,54,18
2020/3/31,18,76,28,8,16
2020/3/31,19,76,14,10,6
2020/3/31,02,286,74,215,101
2020/3/31,21,332,80,437,84
2020/3/31,22,78,10,20,8
2020/3/31,23,18,8,2,0
2020/3/31,24,20,6,12,2
2020/3/31,25,295,102,214,68
2020/3/31,26,426,120,128,78
2020/3/31,27,86,30,27,16
2020/3/31,28,240,53,51,34
2020/3/31,29,98,24,74,14
2020/3/31,03,70,25,82,10
2020/3/31,30,110,40,48,20
2020/3/31,31,437,165,180,14
2020/3/31,32,38,8,6,4
2020/3/31,33,600,162,377,60
2020/3/31,34,472,138,290,58
2020/3/31,35,188,44,118,18
2020/3/31,36,86,16,6,26
2020/3/31,37,202,58,54,10
2020/3/31,38,348,108,148,26
2020/3/31,39,104,18,42,6
2020/3/31,04,40,8,61,4
2020/3/31,40,29,10,14,2
2020/3/31,41,98,20,32,8
2020/3/31,42,827,166,154,88
2020/3/31,43,32,10,32,6
2020/3/31,44,318,100,142,62
2020/3/31,45,301,92,72,26
2020/3/31,46,10,4,14,0
2020/3/31,47,50,12,16,6
2020/3/31,48,14,4,14,0
2020/3/31,49,288,68,224,36
2020/3/31,05,84,14,72,2
2020/3/31,50,92,32,31,19
2020/3/31,51,645,122,337,92
2020/3/31,52,130,26,38,16
2020/3/31,53,110,18,16,16
2020/3/31,54,779,299,188,118
2020/3/31,55,282,32,138,44
2020/3/31,56,234,60,162,60
2020/3/31,57,1884,358,513,385
2020/3/31,58,24,16,2,4
2020/3/31,59,1144,420,357,132
2020/3/31,06,263,67,245,46
2020/3/31,60,555,111,300,198
2020/3/31,61,74,12,70,6
2020/3/31,62,430,168,188,38
2020/3/31,63,118,62,36,2
2020/3/31,64,144,52,74,20
2020/3/31,65,56,14,24,2
2020/3/31,66,244,70,156,28
2020/3/31,67,1921,507,649,360
2020/3/31,68,2070,309,1303,819
2020/3/31,69,2102,491,659,258
2020/3/31,07,151,18,192,24
2020/3/31,70,138,30,89,38
2020/3/31,71,381,60,291,96
2020/3/31,72,201,48,84,18
2020/3/31,73,200,60,108,10
2020/3/31,74,488,136,316,60
2020/3/31,75,4833,1320,1455,724
2020/3/31,76,626,178,127,68
2020/3/31,77,1063,293,404,126
2020/3/31,78,1408,316,572,195
2020/3/31,79,58,12,28,4
2020/3/31,08,95,33,16,0
2020/3/31,80,508,126,191,90
2020/3/31,81,90,36,22,4
2020/3/31,82,16,10,6,2
2020/3/31,83,359,104,356,47
2020/3/31,84,120,42,86,12
2020/3/31,85,102,30,46,10
2020/3/31,86,86,42,52,24
2020/3/31,87,122,26,18,10
2020/3/31,88,493,60,203,176
2020/3/31,89,150,32,18,10
2020/3/31,09,24,6,12,0
2020/3/31,90,402,86,182,122
2020/3/31,91,1275,322,304,104
2020/3/31,92,2870,646,912,297
2020/3/31,93,1922,378,617,320
2020/3/31,94,2312,377,730,296
2020/3/31,95,1444,290,804,286
2020/4/1,01,182,55,82,24
2020/4/1,10,171,30,41,36
2020/4/1,11,160,40,92,42
2020/4/1,12,92,20,42,14
2020/4/1,13,1754,418,1128,110
2020/4/1,14,221,82,58,16
2020/4/1,15,24,12,6,0
2020/4/1,16,33,13,32,9
2020/4/1,17,130,48,62,20
2020/4/1,18,80,30,8,22
2020/4/1,19,78,16,16,8
2020/4/1,02,326,80,241,117
2020/4/1,21,380,88,485,90
2020/4/1,22,94,10,26,12
2020/4/1,23,22,8,2,0
2020/4/1,24,26,8,16,2
2020/4/1,25,321,106,234,68
2020/4/1,26,477,122,152,80
2020/4/1,27,86,20,32,16
2020/4/1,28,240,57,65,34
2020/4/1,29,112,34,82,14
2020/4/1,03,74,25,96,10
2020/4/1,30,148,52,50,20
2020/4/1,31,432,182,216,22
2020/4/1,32,50,8,8,6
2020/4/1,33,592,176,449,64
2020/4/1,34,476,152,338,70
2020/4/1,35,212,50,124,20
2020/4/1,36,102,12,8,34
2020/4/1,37,226,70,74,22
2020/4/1,38,369,116,182,30
2020/4/1,39,110,18,50,8
2020/4/1,04,43,10,66,4
2020/4/1,40,31,11,14,2
2020/4/1,41,116,22,34,14
2020/4/1,42,823,174,212,114
2020/4/1,43,34,10,36,6
2020/4/1,44,375,90,162,72
2020/4/1,45,357,114,84,28
2020/4/1,46,16,6,26,0
2020/4/1,47,58,12,16,6
2020/4/1,48,18,4,14,0
2020/4/1,49,300,80,254,36
2020/4/1,05,104,22,72,2
2020/4/1,50,108,38,35,19
2020/4/1,51,656,122,389,106
2020/4/1,52,132,24,40,16
2020/4/1,53,112,18,22,16
2020/4/1,54,815,310,261,150
2020/4/1,55,322,38,156,44
2020/4/1,56,266,64,172,64
2020/4/1,57,2031,360,605,423
2020/4/1,58,24,18,2,6
2020/4/1,59,1219,441,429,162
2020/4/1,06,297,81,261,58
2020/4/1,60,585,119,366,238
2020/4/1,61,98,12,84,10
2020/4/1,62,549,186,208,46
2020/4/1,63,154,62,46,4
2020/4/1,64,146,54,92,20
2020/4/1,65,78,14,28,2
2020/4/1,66,222,70,190,30
2020/4/1,67,2003,534,814,412
2020/4/1,68,2154,311,1369,826
2020/4/1,69,2219,525,777,300
2020/4/1,07,149,18,211,32
2020/4/1,70,136,32,109,44
2020/4/1,71,345,66,295,100
2020/4/1,72,197,46,100,26
2020/4/1,73,218,64,174,12
2020/4/1,74,496,150,366,78
2020/4/1,75,5236,1435,1720,806
2020/4/1,76,612,176,181,76
2020/4/1,77,1126,319,523,162
2020/4/1,78,1625,356,691,237
2020/4/1,79,66,12,28,4
2020/4/1,08,107,31,16,2
2020/4/1,80,539,128,197,96
2020/4/1,81,106,38,24,6
2020/4/1,82,22,10,6,4
2020/4/1,83,353,92,384,54
2020/4/1,84,140,40,96,20
2020/4/1,85,112,32,54,14
2020/4/1,86,94,40,54,24
2020/4/1,87,122,30,30,10
2020/4/1,88,505,68,241,188
2020/4/1,89,170,42,26,16
2020/4/1,09,31,12,14,0
2020/4/1,90,438,88,182,128
2020/4/1,91,1371,344,332,126
2020/4/1,92,3256,707,1030,345
2020/4/1,93,2338,453,713,372
2020/4/1,94,2711,480,891,369
2020/4/1,95,1460,300,943,312
2020/4/10,01,253,54,233,80
2020/4/10,10,422,54,391,117
2020/4/10,11,126,30,182,74
2020/4/10,12,100,16,112,34
2020/4/10,13,2166,534,2308,317
2020/4/10,14,329,118,144,63
2020/4/10,15,54,16,18,0
2020/4/10,16,19,7,60,16
2020/4/10,17,156,42,112,42
2020/4/10,18,132,28,60,56
2020/4/10,19,77,19,68,24
2020/4/10,02,558,88,524,270
2020/4/10,21,699,158,737,204
2020/4/10,22,140,22,108,34
2020/4/10,23,58,26,18,8
2020/4/10,24,52,10,54,2
2020/4/10,25,375,148,467,129
2020/4/10,26,458,120,386,146
2020/4/10,27,174,16,93,66
2020/4/10,28,387,59,280,80
2020/4/10,29,220,80,155,24
2020/4/10,03,110,44,144,20
2020/4/10,30,216,82,166,44
2020/4/10,31,499,194,456,52
2020/4/10,32,50,8,40,16
2020/4/10,33,562,162,714,126
2020/4/10,34,423,134,697,140
2020/4/10,35,342,84,248,72
2020/4/10,36,157,18,40,58
2020/4/10,37,384,120,190,60
2020/4/10,38,497,112,400,82
2020/4/10,39,222,32,120,48
2020/4/10,04,69,8,120,8
2020/4/10,40,50,26,62,18
2020/4/10,41,186,34,116,36
2020/4/10,42,927,202,594,202
2020/4/10,43,48,14,90,10
2020/4/10,44,576,140,419,119
2020/4/10,45,529,158,362,68
2020/4/10,46,36,16,98,4
2020/4/10,47,56,12,34,8
2020/4/10,48,12,2,22,0
2020/4/10,49,386,108,466,98
2020/4/10,05,104,30,130,4
2020/4/10,50,154,45,91,37
2020/4/10,51,779,120,772,235
2020/4/10,52,200,38,144,74
2020/4/10,53,148,28,60,34
2020/4/10,54,998,294,740,324
2020/4/10,55,307,48,348,84
2020/4/10,56,278,68,350,112
2020/4/10,57,2098,320,1571,901
2020/4/10,58,96,20,26,14
2020/4/10,59,1865,539,1266,454
2020/4/10,06,546,160,457,124
2020/4/10,60,862,139,816,390
2020/4/10,61,150,26,178,28
2020/4/10,62,890,208,665,184
2020/4/10,63,146,68,154,30
2020/4/10,64,194,56,172,32
2020/4/10,65,135,12,86,14
2020/4/10,66,158,66,364,40
2020/4/10,67,2197,530,1881,684
2020/4/10,68,2043,264,2411,1136
2020/4/10,69,2386,516,1905,580
2020/4/10,07,202,44,333,75
2020/4/10,70,178,34,195,94
2020/4/10,71,367,72,467,178
2020/4/10,72,286,42,220,48
2020/4/10,73,235,46,355,46
2020/4/10,74,561,151,701,156
2020/4/10,75,6331,1679,3995,1671
2020/4/10,76,670,214,515,179
2020/4/10,77,1553,413,1551,426
2020/4/10,78,2071,380,1367,498
2020/4/10,79,76,24,46,18
2020/4/10,08,146,31,104,22
2020/4/10,80,714,152,462,220
2020/4/10,81,89,40,98,18
2020/4/10,82,38,20,22,6
2020/4/10,83,537,106,632,98
2020/4/10,84,162,38,214,42
2020/4/10,85,144,42,116,38
2020/4/10,86,112,46,104,38
2020/4/10,87,136,26,85,22
2020/4/10,88,553,68,494,314
2020/4/10,89,175,40,148,46
2020/4/10,09,28,8,29,2
2020/4/10,90,443,74,452,204
2020/4/10,91,2350,460,1030,382
2020/4/10,92,3931,864,2822,923
2020/4/10,93,3177,496,1852,957
2020/4/10,94,4351,652,2032,1011
2020/4/10,95,1817,357,1920,705
2020/4/11,01,233,58,259,84
2020/4/11,10,434,54,391,121
2020/4/11,11,132,28,192,74
2020/4/11,12,110,12,116,34
2020/4/11,13,2117,528,2419,343
2020/4/11,14,331,110,164,66
2020/4/11,15,54,14,18,0
2020/4/11,16,25,13,60,16
2020/4/11,17,158,44,114,44
2020/4/11,18,132,30,60,58
2020/4/11,19,91,23,74,26
2020/4/11,02,556,86,568,278
2020/4/11,21,648,144,801,212
2020/4/11,22,138,24,118,36
2020/4/11,23,62,28,18,8
2020/4/11,24,48,12,64,2
2020/4/11,25,367,151,495,135
2020/4/11,26,452,118,410,154
2020/4/11,27,188,16,93,66
2020/4/11,28,396,49,287,82
2020/4/11,29,231,78,163,26
2020/4/11,03,119,44,147,24
2020/4/11,30,194,80,192,46
2020/4/11,31,477,194,498,56
2020/4/11,32,46,8,42,18
2020/4/11,33,616,204,723,128
2020/4/11,34,367,112,749,148
2020/4/11,35,343,76,270,78
2020/4/11,36,167,18,46,60
2020/4/11,37,398,126,206,66
2020/4/11,38,491,108,414,90
2020/4/11,39,224,28,130,52
2020/4/11,04,69,10,126,8
2020/4/11,40,50,26,62,18
2020/4/11,41,186,30,122,42
2020/4/11,42,939,196,627,208
2020/4/11,43,60,14,90,10
2020/4/11,44,574,130,453,123
2020/4/11,45,553,148,396,78
2020/4/11,46,40,20,106,4
2020/4/11,47,54,12,34,8
2020/4/11,48,12,2,22,0
2020/4/11,49,404,92,484,106
2020/4/11,05,100,30,136,4
2020/4/11,50,139,41,104,41
2020/4/11,51,727,116,832,261
2020/4/11,52,198,36,156,80
2020/4/11,53,130,22,78,36
2020/4/11,54,998,292,764,340
2020/4/11,55,285,42,366,90
2020/4/11,56,260,70,388,118
2020/4/11,57,2070,320,1623,931
2020/4/11,58,106,20,30,14
2020/4/11,59,1858,531,1358,493
2020/4/11,06,525,152,492,132
2020/4/11,60,881,141,851,407
2020/4/11,61,134,26,196,32
2020/4/11,62,866,196,701,192
2020/4/11,63,144,54,158,36
2020/4/11,64,184,54,190,32
2020/4/11,65,147,10,92,16
2020/4/11,66,156,58,370,42
2020/4/11,67,2199,520,1908,690
2020/4/11,68,2049,278,2455,1148
2020/4/11,69,2484,506,2026,600
2020/4/11,07,196,48,345,75
2020/4/11,70,174,34,199,96
2020/4/11,71,347,66,515,182
2020/4/11,72,294,44,236,50
2020/4/11,73,213,46,381,46
2020/4/11,74,562,149,767,168
2020/4/11,75,6407,1619,4246,1726
2020/4/11,76,655,210,547,185
2020/4/11,77,1586,405,1606,446
2020/4/11,78,2101,378,1442,514
2020/4/11,79,76,16,46,18
2020/4/11,08,136,33,114,26
2020/4/11,80,700,142,541,236
2020/4/11,81,83,38,106,20
2020/4/11,82,36,20,26,6
2020/4/11,83,547,110,666,100
2020/4/11,84,152,36,234,42
2020/4/11,85,150,40,124,40
2020/4/11,86,126,58,104,38
2020/4/11,87,138,36,95,22
2020/4/11,88,531,60,520,316
2020/4/11,89,169,40,170,50
2020/4/11,09,28,8,29,2
2020/4/11,90,433,70,476,214
2020/4/11,91,2394,466,1112,404
2020/4/11,92,3937,878,2974,963
2020/4/11,93,3220,483,1993,985
2020/4/11,94,4439,628,2122,1038
2020/4/11,95,1827,349,2034,727
2020/4/12,01,233,58,267,84
2020/4/12,10,474,54,393,121
2020/4/12,11,162,28,192,76
2020/4/12,12,112,12,116,36
2020/4/12,13,2254,536,2441,347
2020/4/12,14,323,102,180,70
2020/4/12,15,56,14,18,0
2020/4/12,16,27,11,62,16
2020/4/12,17,171,42,114,46
2020/4/12,18,136,28,64,62
2020/4/12,19,95,23,76,28
2020/4/12,02,564,88,572,282
2020/4/12,21,686,144,809,232
2020/4/12,22,146,24,122,40
2020/4/12,23,66,30,18,8
2020/4/12,24,52,12,64,2
2020/4/12,25,421,147,525,143
2020/4/12,26,470,114,414,158
2020/4/12,27,188,14,97,66
2020/4/12,28,429,49,289,82
2020/4/12,29,245,76,163,26
2020/4/12,03,115,40,157,26
2020/4/12,30,190,80,194,52
2020/4/12,31,487,194,516,56
2020/4/12,32,56,8,42,18
2020/4/12,33,598,198,755,136
2020/4/12,34,360,112,762,148
2020/4/12,35,363,70,282,78
2020/4/12,36,163,18,48,64
2020/4/12,37,386,114,212,72
2020/4/12,38,494,104,432,94
2020/4/12,39,234,30,130,54
2020/4/12,04,67,10,126,10
2020/4/12,40,48,24,62,20
